353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206

# Sector 049 targets observed (2 min: 17, 20 s: 0)
144376546,172.4515,30.067,9.34,G04184;G04206
22846570,204.3421,41.5771,10.51,G04184;G04206
23675290,207.0665,39.9006,11.62,G04184;G04206
156376126,176.9538,35.2264,10.18,G04171;G04206
9454206,182.9659,39.9577,10.19,G04191;G04206
357372327,218.1269,50.8277,9.04,G04171;G04103;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
207496824,246.9546,58.8398,10.75,G04171;G04103;G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
284563930,291.4703,58.1518,10.9,G04103;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206

# Sector 050 targets observed (2 min: 19, 20 s: 0)
233465540,231.0291,36.8668,10.3,G04123;G04106;G04206
406798603,225.6923,37.91,10.13,G04171;G04123;G04106;G04206
22846570,204.3421,41.5771,10.51,G04184;G04206
23675290,207.0665,39.9006,11.62,G04184;G04206
357372327,218.1269,50.8277,9.04,G04171;G04103;G04206
157376436,238.744,42.7694,10.96,G04184;G04206
282941472,236.5958,44.0542,10.39,G04234;G04206
417545885,239.9465,44.0666,9.98,G04188;G04206;G04006
207496824,246.9546,58.8398,10.75,G04171;G04103;G04206
232570970,247.8986,48.7266,11.58,G04184;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
284563930,291.4703,58.1518,10.9,G04103;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206

# Sector 051 targets observed (2 min: 22, 20 s: 0)
271279724,220.4963,5.0029,10.03,G04103;G04206
460355924,225.3672,2.7082,9.54,G04103;G04206
38947200,229.3955,-1.088,10.9,G04184;G04206
236392102,244.8575,29.7131,11.15,G04184;G04206
233465540,231.0291,36.8668,10.3,G04123;G04106;G04206
406798603,225.6923,37.91,10.13,G04171;G04123;G04106;G04206
157376436,238.744,42.7694,10.96,G04184;G04206
282941472,236.5958,44.0542,10.39,G04234;G04206
417545885,239.9465,44.0666,9.98,G04188;G04206;G04006
72839144,254.1196,37.6553,9.7,G04206
115419820,252.3802,47.108,9.19,G04103;G04206
219081309,257.1237,42.5304,11.06,G04123;G04206
232570970,247.8986,48.7266,11.58,G04184;G04206
207496824,246.9546,58.8398,10.75,G04171;G04103;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206

# Sector 052 targets observed (2 min: 30, 20 s: 0)
85516380,258.2665,35.9785,11.31,G04123;G04184;G04106;G04206
236392102,244.8575,29.7131,11.15,G04184;G04206
230243800,264.5196,21.6131,10.69,G04206
263731790,256.116,17.1195,9.93,G04206
298609696,267.7225,23.5688,10.59,G04206
356063015,257.7577,22.4253,10.73,G04206
363732872,265.5995,22.244,10.76,G04206
363923220,266.5122,21.2973,11.69,G04206
368208206,264.8701,18.4106,10.82,G04206
394026889,262.0708,21.2655,10.63,G04206
400360028,263.5012,16.2328,10.63,G04206
459315835,254.2694,15.3378,11.37,G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
47629196,279.0077,48.7099,10.66,G04103;G04206
198389193,258.1937,54.1507,11.57,G04206
207496824,246.9546,58.8398,10.75,G04171;G04103;G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
115419820,252.3802,47.108,9.19,G04103;G04206
219081309,257.1237,42.5304,11.06,G04123;G04206
232570970,247.8986,48.7266,11.58,G04184;G04206
235597969,270.4284,36.2509,11.34,G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
461637324,21.1289,85.0186,11.02,G04184;G04206
142090209,78.6063,80.1359,11.41,G04206

# Sector 053 targets observed (2 min: 76, 20 s: 0)
120569215,285.6031,36.9131,11.45,G04206
157652824,279.5862,37.4713,10.96,G04206
157807669,280.3703,37.5538,10.86,G04206
20437735,283.9034,30.036,10.98,G04206
20528414,284.0598,34.5414,10.88,G04206
20911026,285.0304,34.4427,9.4,G04206
21154143,285.4141,35.3103,9.3,G04206
23124237,274.5282,34.2733,11.1,G04206
24255788,277.2355,35.0384,11.39,G04206
28398377,281.7909,32.6121,11.18,G04206
28565554,282.1678,29.915,11.34,G04206
28684611,282.7355,30.3536,11.43,G04206
28942187,283.3042,30.7235,10.95,G04206
322428763,278.7637,28.8278,10.56,G04206
336211248,281.4138,37.4794,10.68,G04206
42313664,286.4416,34.6144,9.11,G04206
42313885,286.3733,34.5039,9.32,G04206
42380035,286.555,31.7977,10.89,G04206
42441260,286.6053,35.7933,11.44,G04206
68759350,281.3218,30.9484,10.99,G04206
68763778,281.4344,31.6074,11.24,G04206
235597969,270.4284,36.2509,11.34,G04206
332541024,270.4921,30.7879,10.82,G04123;G04106;G04206
135482338,271.5485,23.3069,11.57,G04206
135521610,271.6721,21.5437,11.09,G04206
230243800,264.5196,21.6131,10.69,G04206
235612261,272.8765,19.8011,11.04,G04206
286585105,271.7013,15.9262,11.55,G04206
286677581,271.716,16.0727,11.1,G04206
289807085,269.1162,15.889,11.43,G04206
298609696,267.7225,23.5688,10.59,G04206
298687232,267.8944,19.7622,11.37,G04206
363732872,265.5995,22.244,10.76,G04206
363923220,266.5122,21.2973,11.69,G04206
368208206,264.8701,18.4106,10.82,G04206
394026889,262.0708,21.2655,10.63,G04206
400360028,263.5012,16.2328,10.63,G04206
416171790,269.0588,17.197,10.95,G04206
44143095,266.7149,16.5126,11.64,G04206
158077519,273.8499,22.5832,11.0,G04206
158186773,274.2769,19.6489,11.44,G04206
158312320,274.4182,19.3928,11.44,G04206
255657132,283.4646,22.2577,11.18,G04206
287627010,276.4524,16.3572,11.37,G04206
298532001,282.9016,14.2886,10.64,G04206
314354236,279.592,18.5247,11.09,G04206
338337408,283.427,14.3228,10.32,G04206
339354622,283.9484,14.0674,11.19,G04206
346467492,280.484,19.4655,11.01,G04206
348157809,281.7788,21.2393,10.94,G04206
348927782,282.5686,20.2113,11.09,G04206
451628979,286.3244,22.6313,11.19,G04206
462762160,277.3516,15.9413,10.85,G04206
50170202,278.1119,14.5568,11.2,G04206
72972262,274.4815,15.2938,11.04,G04206
85051826,275.2844,24.505,11.72,G04206
284563930,291.4703,58.1518,10.9,G04103;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
406954476,290.3937,53.5881,11.09,G04123;G04206
198389193,258.1937,54.1507,11.57,G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
237114978,269.6715,58.1615,10.64,G04219;G04171;G04206
219081309,257.1237,42.5304,11.06,G04123;G04206
120576722,285.5196,41.55,11.16,G04171;G04234;G04206
121121622,287.1648,39.3769,11.15,G04171;G04206
164463075,283.2592,42.8455,11.52,G04171;G04206
164557531,283.7665,47.8191,10.54,G04171;G04206
164677806,284.3976,45.1289,11.26,G04171;G04206
48506689,285.2448,48.745,11.39,G04184;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
461637324,21.1289,85.0186,11.02,G04184;G04206

# Sector 054 targets observed (2 min: 107, 20 s: 0)
256401112,300.5964,3.7127,9.83,G04206
366690402,302.5671,9.1208,10.58,G04206
393610764,300.358,7.6278,11.35,G04206
393761073,304.747,0.2309,10.91,G04206
393809606,306.135,1.3418,11.06,G04206
419158634,306.1273,3.0937,10.55,G04206
419591597,308.9209,0.4416,11.27,G04206
421706335,300.3701,3.1473,11.46,G04206
439698710,298.3224,-1.9164,11.1,G04206
70253276,297.5797,7.8372,11.49,G04206
110460789,290.0783,1.9585,10.75,G04206
135186325,293.5205,7.9699,11.32,G04206
136555106,291.7245,4.1084,11.43,G04206
174808418,288.7359,3.8798,9.99,G04206
175243826,289.0262,1.8859,9.51,G04206
182389616,288.6003,3.5653,9.95,G04206
183212177,290.8971,1.2001,11.04,G04206
212497647,293.2607,4.9495,11.36,G04206
228380676,285.354,1.7097,11.04,G04206
228417791,285.3243,4.7041,10.76,G04206
249154339,292.3724,-3.0355,11.33,G04206
249390512,293.0474,-1.3599,11.36,G04206
261627272,295.0275,7.6368,11.05,G04206
261981997,295.1545,6.3253,11.36,G04206
51179278,290.8417,-1.5696,10.44,G04206
100366527,292.6702,-8.2628,11.43,G04206
100559042,292.9006,-7.7622,11.01,G04206
100887555,293.2591,-11.3847,10.69,G04206
160700510,289.1912,-5.7887,11.6,G04206
205082037,289.115,-11.8527,11.22,G04206
205137749,289.0678,-8.7846,10.89,G04206
205855545,291.5352,-14.8416,10.81,G04206
242792786,294.9972,-7.7909,10.54,G04206
249189110,292.4832,-4.5499,10.85,G04206
249688893,293.8577,-4.732,10.81,G04206
439596199,297.6209,-3.7715,11.35,G04206
48199023,297.9629,-14.6338,9.94,G04206
7061937,288.2218,-5.7814,11.3,G04206
157724259,306.5155,-6.699,10.86,G04206
244045372,304.1226,-4.9879,10.81,G04206
248088175,309.5584,-3.513,11.33,G04206
41635130,309.3136,-8.6664,11.59,G04206
71461240,303.7719,-11.3342,11.33,G04206
362792601,295.594,23.3836,11.39,G04074;G04206
20437735,283.9034,30.036,10.98,G04206
255657132,283.4646,22.2577,11.18,G04206
28565554,282.1678,29.915,11.34,G04206
28684611,282.7355,30.3536,11.43,G04206
28942187,283.3042,30.7235,10.95,G04206
322428763,278.7637,28.8278,10.56,G04206
346467492,280.484,19.4655,11.01,G04206
348157809,281.7788,21.2393,10.94,G04206
348927782,282.5686,20.2113,11.09,G04206
357999129,290.7865,22.5423,10.78,G04206
390279364,286.8181,25.4237,10.63,G04206
390414183,287.1129,29.4238,10.73,G04206
403871315,289.2035,25.8364,10.32,G04123;G04106;G04206
403930540,289.1424,27.7655,11.18,G04206
404137822,289.4139,27.6771,10.84,G04206
404209585,289.5902,27.063,8.9,G04206
404251017,289.6244,26.3692,9.94,G04206
404321165,289.6548,26.7065,8.95,G04206
42380035,286.555,31.7977,10.89,G04206
451628979,286.3244,22.6313,11.19,G04206
89442119,289.8464,24.6711,8.76,G04206
206413247,288.0976,9.3667,10.79,G04206
206418389,288.0937,9.9993,10.73,G04206
209330887,288.7322,9.6629,11.29,G04206
298532001,282.9016,14.2886,10.64,G04206
298739057,283.0313,13.2049,11.5,G04206
338337408,283.427,14.3228,10.32,G04206
339354622,283.9484,14.0674,11.19,G04206
339597318,284.0357,13.2283,11.15,G04206
340071430,290.8353,15.7873,10.91,G04206
384620517,286.8967,18.9555,10.84,G04206
120576722,285.5196,41.55,11.16,G04171;G04234;G04206
121121622,287.1648,39.3769,11.15,G04171;G04206
164463075,283.2592,42.8455,11.52,G04171;G04206
138893145,294.9364,39.8524,10.15,G04171;G04206
138971570,295.2174,39.91,11.4,G04171;G04234;G04103;G04206
159220329,289.9738,43.654,11.2,G04171;G04234;G04206
169814134,297.6401,40.236,11.13,G04171;G04206
184246521,295.834,39.9523,10.77,G04171;G04206
271158877,294.5265,43.3964,10.43,G04171;G04234;G04206
159644070,291.2451,47.2492,10.77,G04171;G04074;G04206
159723646,291.2787,45.9341,11.45,G04171;G04206
26656583,292.5761,49.5261,10.3,G04171;G04206
268387175,299.0406,46.6611,10.84,G04171;G04206
270617514,293.6899,45.9045,11.16,G04123;G04206
271877841,295.8046,47.6709,11.61,G04171;G04234;G04206
272841995,297.1198,47.624,11.36,G04171;G04206
28359831,298.0926,48.1045,10.83,G04171;G04206
406947878,290.2985,47.9787,9.39,G04123;G04171;G04206
406954476,290.3937,53.5881,11.09,G04123;G04206
48506689,285.2448,48.745,11.39,G04184;G04206
164557531,283.7665,47.8191,10.54,G04171;G04206
164677806,284.3976,45.1289,11.26,G04171;G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
237114978,269.6714,58.1615,10.64,G04219;G04171;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
284563930,291.4703,58.1518,10.9,G04103;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206

# Sector 055 targets observed (2 min: 66, 20 s: 0)
60494952,320.3142,14.9525,9.77,G04103;G04206
375058873,309.0098,8.4509,11.19,G04206
375814451,313.2792,10.4278,11.65,G04206
375970889,313.8257,11.5466,11.81,G04206
399614091,312.4124,10.7016,10.39,G04206
466732195,309.5866,3.3591,11.21,G04206
117065165,319.2729,31.7429,10.75,G04123;G04106;G04206
426599291,304.8265,33.0103,11.26,G04123;G04106;G04206
426803687,304.9182,35.7863,10.49,G04171;G04206
452544997,307.725,25.6513,11.45,G04171;G04206
125699421,316.3183,14.792,11.27,G04206
210238504,308.8998,20.2016,11.33,G04206
243516770,309.8109,18.4948,11.63,G04206
243595823,310.1133,23.7356,11.4,G04206
283896753,316.2478,18.6183,11.3,G04206
286554608,313.1635,22.6029,10.69,G04206
286627829,313.2606,22.9479,10.68,G04206
289468131,315.1974,20.7439,10.82,G04206
298189304,308.5615,24.2169,8.81,G04206
305878568,307.1424,17.7914,11.07,G04206
331188645,310.4348,20.8463,11.17,G04206
367235986,308.7615,24.4572,9.18,G04206
372836492,308.0889,14.0346,10.93,G04206
396834268,303.8616,19.5062,11.22,G04206
402828539,305.4271,19.5461,9.66,G04206
406494550,309.0404,19.7851,10.94,G04206
126814211,316.7693,24.7615,10.9,G04206
247996419,324.7059,26.6928,10.49,G04206
248067933,325.6083,28.8298,11.29,G04206
257625332,319.9144,21.4892,11.0,G04206
85752358,318.6023,19.2812,11.59,G04206
88588188,323.2875,26.501,11.47,G04206
11113164,303.9089,36.7935,10.34,G04074;G04171;G04206
138893145,294.9364,39.8524,10.15,G04171;G04206
138971570,295.2174,39.91,11.4,G04171;G04234;G04103;G04206
13976604,305.8404,38.0018,10.89,G04171;G04206
169814134,297.6401,40.236,11.13,G04171;G04206
184246521,295.834,39.9523,10.77,G04171;G04206
268387175,299.0406,46.6611,10.84,G04171;G04206
271158877,294.5265,43.3964,10.43,G04171;G04234;G04206
70943926,295.3793,33.5323,10.56,G04123;G04106;G04206
365034219,311.2933,48.0868,11.05,G04171;G04206
63820329,308.7449,41.6048,9.14,G04171;G04206
284563930,291.4703,58.1518,10.9,G04103;G04206
159644070,291.2451,47.2492,10.77,G04171;G04074;G04206
159723646,291.2787,45.9341,11.45,G04171;G04206
164557531,283.7665,47.8191,10.54,G04171;G04206
164677806,284.3976,45.1289,11.26,G04171;G04206
26656583,292.5761,49.5261,10.3,G04171;G04206
270617514,293.6899,45.9045,11.16,G04123;G04206
271877841,295.8046,47.6709,11.61,G04171;G04234;G04206
272841995,297.1198,47.624,11.36,G04171;G04206
28359831,298.0926,48.1045,10.83,G04171;G04206
406947878,290.2985,47.9787,9.39,G04123;G04171;G04206
406954476,290.3937,53.5881,11.09,G04123;G04206
48506689,285.2448,48.745,11.39,G04184;G04206
237114978,269.6714,58.1615,10.64,G04219;G04171;G04206
353989471,272.5463,55.6388,10.61,G04171;G04206
389916225,275.7725,58.9035,10.1,G04171;G04206
258799679,286.6097,68.4837,10.58,G04123;G04206
356701798,254.8456,70.5769,10.62,G04171;G04206
356820646,269.5245,73.1237,11.22,G04171;G04103;G04206
441804888,265.8504,72.6112,11.26,G04171;G04133;G04206
207496824,246.9546,58.8398,10.75,G04171;G04103;G04206
233679640,260.3366,60.0582,10.88,G04171;G04206
311235572,253.9882,68.2001,11.4,G04103;G04206
